run_id,instance_file,ls_method,refinement_heuristics,neighborhoods,initial_method,seed,initial_benefit,final_benefit,improvement,improvement_pct,capacity_remaining,time,evaluations,timestamp
local_search_93,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,2,8107,8107,0,0.0,58,0.12815022468566895,89,2025-10-05T15:05:01.903924
local_search_94,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,3,8107,8107,0,0.0,58,0.13674068450927734,89,2025-10-05T15:05:02.044502
local_search_95,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,4,8107,8107,0,0.0,58,0.14042448997497559,89,2025-10-05T15:05:02.188453
local_search_96,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,5,8107,8107,0,0.0,58,0.1541733741760254,89,2025-10-05T15:05:02.346310
local_search_97,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,6,8107,8107,0,0.0,58,0.16767668724060059,89,2025-10-05T15:05:02.517811
local_search_98,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,7,8107,8107,0,0.0,58,0.1336817741394043,89,2025-10-05T15:05:02.654870
local_search_99,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,8,8107,8107,0,0.0,58,0.13125228881835938,89,2025-10-05T15:05:02.789768
local_search_100,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,9,8107,8107,0,0.0,58,0.131364107131958,89,2025-10-05T15:05:02.925310
local_search_101,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,10,8107,8107,0,0.0,58,0.14223384857177734,89,2025-10-05T15:05:03.071590
local_search_102,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,11,8107,8107,0,0.0,58,0.15274715423583984,89,2025-10-05T15:05:03.228347
local_search_103,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,12,8107,8107,0,0.0,58,0.14307689666748047,89,2025-10-05T15:05:03.374774
local_search_104,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,13,8107,8107,0,0.0,58,0.15093064308166504,89,2025-10-05T15:05:03.530357
local_search_105,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,14,8107,8107,0,0.0,58,0.1414933204650879,89,2025-10-05T15:05:03.676015
local_search_106,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,15,8107,8107,0,0.0,58,0.1402568817138672,89,2025-10-05T15:05:03.819961
local_search_107,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,16,8107,8107,0,0.0,58,0.13210201263427734,89,2025-10-05T15:05:03.955757
local_search_108,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,17,8107,8107,0,0.0,58,0.12578511238098145,89,2025-10-05T15:05:04.085462
local_search_109,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,18,8107,8107,0,0.0,58,0.11937189102172852,89,2025-10-05T15:05:04.208203
local_search_110,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,19,8107,8107,0,0.0,58,0.12933683395385742,89,2025-10-05T15:05:04.341027
local_search_111,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,20,8107,8107,0,0.0,58,0.12810730934143066,89,2025-10-05T15:05:04.472427
