run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp
genetic_algorithm_53,input/sukp29_500_485_0.15_0.85.txt,4,92872019322470767006055541580638475292424578849900992024990410252093788379191350322622095382531621888213775823346339392835661437414224157885796351,382,93597581973813727900963962868444530162843842952006188091458770892576942808229010012133762861077493121726083071557750038824867623781720608844222463,[],20,1,100,True,tournament,True,[],0.01,1,1760323629.1966572,212.47074961662292,4200,66500,2025-10-12T23:50:41.673541
genetic_algorithm_54,input/prob-software-85-100-812-12180.txt,10,929373794122529642358507560939,7772,890073438339801670055205207804,[],20,1,100,True,tournament,True,[],0.05,5,1760324052.6341054,7.272495985031128,4200,12164,2025-10-12T23:54:19.906741
genetic_algorithm_55,input/sukp03_100_100_0.10_0.75.txt,7,1252743918568496957245672652791,10177,1208982631449395953072280091643,[],20,1,100,True,tournament,True,[],0.05,5,1760324060.0238078,8.741397142410278,4200,11218,2025-10-12T23:54:28.765329
genetic_algorithm_56,input/sukp06_200_200_0.10_0.75.txt,6,770114687556615064164660001320918541784162341614434738241515,3184,770120817673234894387182336231313641949433127030589000383723,[],20,1,100,True,tournament,True,[],0.05,5,1760324068.9037743,29.39871859550476,4200,25487,2025-10-12T23:54:58.302703
genetic_algorithm_57,input/sukp12_400_400_0.10_0.75.txt,6,1265190877175338309890797077804403256818202515997677561203981021343997927961290719894448085137188879648131332312968197086,487,1265193339800725584545747845244409951529483166360345385095194307451557715602615260267438681718922398859736516459558065407,[],20,1,100,True,tournament,True,[],0.05,5,1760324098.418636,97.5857470035553,4200,49000,2025-10-12T23:56:36.004722
genetic_algorithm_58,input/sukp18_100_100_0.15_0.85.txt,6,1049763481757527479885336870907,10338,435133486956444576957327179771,[],20,1,100,True,tournament,True,[],0.05,5,1760324196.4640944,9.245128870010376,4200,15182,2025-10-12T23:56:45.709334
genetic_algorithm_59,input/sukp24_300_300_0.15_0.85.txt,6,1017954538035976516725418621692758944159699046444337977993223907538350572453074594864561151,1129,1017954492771187036456516422596355267581954282263776421828020602672193730028761654987947967,[],20,1,100,True,tournament,True,[],0.05,5,1760324205.809552,69.4310405254364,4200,45725,2025-10-12T23:57:55.240912
genetic_algorithm_60,input/sukp29_500_485_0.15_0.85.txt,5,0,0,36653107472270483430570868397190422331804796767765993349103203477755159730350291945576005824568667497758222338184313557437045319970493217176776095,[],20,1,100,True,tournament,True,[],0.05,5,1760324275.4043064,158.26029109954834,4200,0,2025-10-13T00:00:33.664862
genetic_algorithm_61,input/prob-software-85-100-812-12180.txt,11,886054751979703540739629473638,6524,925511786217081953496590172006,[],20,1,100,True,tournament,True,[],0.1,10,1760324948.64209,7.319764137268066,4200,11935,2025-10-13T00:09:15.961988
genetic_algorithm_62,input/sukp03_100_100_0.10_0.75.txt,8,1108255525405336763365284642751,7534,1009525546191086089938082229738,[],20,1,100,True,tournament,True,[],0.1,10,1760324956.1845784,8.266485452651978,4200,11222,2025-10-13T00:09:24.451170
genetic_algorithm_63,input/sukp06_200_200_0.10_0.75.txt,7,1604721755254311454517398472801660299045124115324058776042987,3288,1604721707317046562434329227689767087242406007793497413713387,[],20,1,100,True,tournament,True,[],0.1,10,1760324964.6256812,27.50413942337036,4200,25062,2025-10-13T00:09:52.129988
