instance_file,run_id,method_inferred,benefit,time,_source_file,Solution,alpha,beta,biggest_first,capacity_remaining,capacity_used,crossover_points,elite_number,evaluations,final_temp,first_solution,gamma,generations,ils_max_tries,improvement,improvement_pct,initial_benefit,initial_method,initial_sol,initial_sol_neighborhood,initial_temp,ls_max_tries,ls_method,method,mutation_rate,mutations_per_gene,neighborhood_names,neighborhoods,parameters,params,parent_selection,parents_per_generation,parents_survive,perturbation,refinement_heuristics,run_finding_initial_temp,run_seed,seed,solution,start_time,starting_find_temp,timestamp,two_offsprings
input/sukp06_200_200_0.10_0.75.txt,constructive_2160,create_dep_size_greedy_solution,3079,0.0001730918884277,constructive.csv,,,,,,25435,,,1,,,,,,,,,,,,,,,create_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,,,,,2025-10-15T21:26:28.558579,
input/sukp06_200_200_0.10_0.75.txt,constructive_2163,create_num_pack_greedy_solution,938,0.0013906955718994,constructive.csv,,,,,,25626,,,1,,,,,,,,,,,,,,,create_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:28.585144,
input/sukp06_200_200_0.10_0.75.txt,constructive_2161,create_pack_benefit_greedy_solution,7924,0.0017051696777343,constructive.csv,,,,,,25619,,,1,,,,,,,,,,,,,,,create_pack_benefit_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:28.567818,
input/sukp06_200_200_0.10_0.75.txt,constructive_2213,create_randomic_solution,748,0.00014328956604,constructive.csv,,,,,,25595,,,1,,,,,,,,,,,,,,,create_randomic_solution,,,,,,biggest_first=False,,,,,,,,18.0,,,,2025-10-15T21:26:28.997732,
input/sukp06_200_200_0.10_0.75.txt,constructive_2335,create_randomized_dep_size_greedy_solution,2059,0.000748872756958,constructive.csv,,,,,,25630,,,1,,,,,,,,,,,,,,,create_randomized_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,20.0,,,,2025-10-15T21:26:30,
input/sukp06_200_200_0.10_0.75.txt,constructive_2447,create_randomized_num_pack_greedy_solution,1156,0.0017609596252441,constructive.csv,,,,,,25630,,,1,,,,,,,,,,,,,,,create_randomized_num_pack_greedy_solution,,,,,,biggest_first=False,,,,,,,,12.0,,,,2025-10-15T21:26:30.967519,
input/sukp06_200_200_0.10_0.75.txt,constructive_2404,create_randomized_pack_benefit_greedy_solution,7168,0.0025177001953125,constructive.csv,,,,,,25617,,,1,,,,,,,,,,,,,,,create_randomized_pack_benefit_greedy_solution,,,,,,biggest_first=False,,,,,,,,29.0,,,,2025-10-15T21:26:30.606980,
input/sukp06_200_200_0.10_0.75.txt,constructive_2236,create_randomized_ratio_greedy_solution,1983,0.0023839473724365,constructive.csv,,,,,,25629,,,1,,,,,,,,,,,,,,,create_randomized_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,11.0,,,,2025-10-15T21:26:29.179535,
input/sukp06_200_200_0.10_0.75.txt,constructive_2157,create_ratio_greedy_solution,3300,0.0023467540740966,constructive.csv,,,,,,25532,,,1,,,,,,,,,,,,,,,create_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:28.535293,
input/sukp07_285_300_0.10_0.75.txt,simulated_annealing_273,<unknown>,759,60.01327395439148,simulated_annealing.csv,,0.9,1.5,,,32191,,,5337,8.552062338967584e-117,random,0.9,,,,,,,,,1500.0,,,,,,,,,,,,,,,False,5,,867514061863387447204910268917140189221177293508911139211998150590680932389873756809161780,1763238826.3171837,1000,2025-11-15T17:34:46.330569,
input/sukp07_285_300_0.10_0.75.txt,iterated_local_search_72,['variable_neighborhood_descent'],7704,17.690439224243164,iterated_local_search.csv,,,,,,38832,,,1002,,create_pack_benefit_greedy_solution,,,1000,,,,,,,,1000,['variable_neighborhood_descent'],,,,[],,biggest_first:True,,,,,[],[],,18,,1622252848154648481779052703966520678253594508686293007238790315653024432251702490831218685,1763242617.3430204,,2025-11-15T18:37:15.033566,
input/sukp07_285_300_0.10_0.75.txt,constructive_9552,create_dep_size_greedy_solution,95,0.00011324882507324219,constructive.csv,,,,,,38917,,,1,,,,,,,,,,,,,,,create_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,2036999911687752997067625328736505160199324911448042243909781445302811788083826319913910271,,,,2025-10-17T12:45:18.232083,
input/sukp07_285_300_0.10_0.75.txt,constructive_7707,create_num_pack_greedy_solution,33,0.001481771469116211,constructive.csv,,,,,,38904,,,1,,,,,,,,,,,,,,,create_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,490842454796850938478983344665703407851370992955836659150057214756320930181759737465908988,,,,2025-10-17T12:31:44.043994,
input/sukp07_285_300_0.10_0.75.txt,constructive_7705,create_pack_benefit_greedy_solution,7704,0.0019230842590332031,constructive.csv,,,,,,38832,,,1,,,,,,,,,,,,,,,create_pack_benefit_greedy_solution,,,,,,biggest_first=True,,,,,,,,1622252848154648481779052703966520678253594508686293007238790315653024432251702490831218685,,,,2025-10-17T12:31:44.027878,
input/sukp07_285_300_0.10_0.75.txt,constructive_6816,create_randomic_solution,485,0.00017261505126953125,constructive.csv,1,,,,,38913,,,1,,,,,,,,,,,,,,,create_randomic_solution,,,,,,biggest_first=False,,,,,,,,1459426119709590119745735650349452290360424987711204740421409798225960065827840685105996511,,,,2025-10-17T12:30:58.714681,
input/sukp07_285_300_0.10_0.75.txt,constructive_3211,create_randomized_dep_size_greedy_solution,808,0.0007030963897705,constructive.csv,,,,,,38918,,,1,,,,,,,,,,,,,,,create_randomized_dep_size_greedy_solution,,,,,,biggest_first=True,,,,,,,,2.0,,,,2025-10-17T10:57:29.287912,
input/sukp07_285_300_0.10_0.75.txt,constructive_7983,create_randomized_num_pack_greedy_solution,764,0.001974344253540039,constructive.csv,4,,,,,38919,,,1,,,,,,,,,,,,,,,create_randomized_num_pack_greedy_solution,,,,,,biggest_first=False,,,,,,,,509088030445885357718627900461462262644231564585181231464288516960165749494001670251593599,,,,2025-10-17T12:31:46.249929,
input/sukp07_285_300_0.10_0.75.txt,constructive_5172,create_randomized_pack_benefit_greedy_solution,6400,0.002439737319946289,constructive.csv,25,,,,,38918,,,1,,,,,,,,,,,,,,,create_randomized_pack_benefit_greedy_solution,,,,,,biggest_first=False,,,,,,,,1976844281403569353737879664625604186992438682245260503775546966860379664294456507065951929,,,,2025-10-17T12:22:03.448853,
input/sukp07_285_300_0.10_0.75.txt,constructive_5050,create_randomized_ratio_greedy_solution,375,0.002488851547241211,constructive.csv,23,,,,,38909,,,1,,,,,,,,,,,,,,,create_randomized_ratio_greedy_solution,,,,,,biggest_first=False,,,,,,,,1499916742676589257811207321388787137878161892022659337077605718578176540075146368507150223,,,,2025-10-17T12:22:02.472069,
input/sukp07_285_300_0.10_0.75.txt,constructive_8625,create_ratio_greedy_solution,1669,0.0020952224731445312,constructive.csv,,,,,,38851,,,1,,,,,,,,,,,,,,,create_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,2037032056609218833618538444092925888586104406141823981689889142450777530076504890088882109,,,,2025-10-17T12:32:15.112330,
